"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1846","Checking chosen category on static pages","tests.test_chosen_category","Fri Aug 15 07:59:41 UTC 2025","passed","Fri Aug 15 07:59:42 UTC 2025","TestChosen","test_chosen_category","",""
"","3734","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:03:44 UTC 2025","passed","Fri Aug 15 08:03:48 UTC 2025","TestNavbar","test_navbar","",""
"","1262","Checking breadcrumb on static pages","tests.test_breadcrumb","Fri Aug 15 07:58:00 UTC 2025","passed","Fri Aug 15 07:58:02 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","5012","Checking chosen category on static pages","tests.test_chosen_category","Fri Aug 15 08:00:02 UTC 2025","passed","Fri Aug 15 08:00:07 UTC 2025","TestChosen","test_chosen_category","",""
"","3011","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:03:25 UTC 2025","passed","Fri Aug 15 08:03:28 UTC 2025","TestNavbar","test_navbar","",""
"","1155","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:05:03 UTC 2025","passed","Fri Aug 15 08:05:04 UTC 2025","TestScrollUp","test_scroll_up","",""
"","2121","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:03:27 UTC 2025","passed","Fri Aug 15 08:03:29 UTC 2025","TestNavbar","test_navbar","",""
"","2381","Checking chosen brand on static pages","tests.test_chosen_category","Fri Aug 15 08:03:09 UTC 2025","passed","Fri Aug 15 08:03:12 UTC 2025","TestChosen","test_chosen_category","",""
"","4333","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:04:09 UTC 2025","passed","Fri Aug 15 08:04:13 UTC 2025","TestNavbar","test_navbar","",""
"","1981","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:02:26 UTC 2025","passed","Fri Aug 15 08:02:28 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","1560","Checking breadcrumb on static pages","tests.test_breadcrumb","Fri Aug 15 07:57:37 UTC 2025","passed","Fri Aug 15 07:57:39 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","3775","Checking current item on static page","tests.test_current_item","Fri Aug 15 08:01:47 UTC 2025","passed","Fri Aug 15 08:01:51 UTC 2025","","test_current_item","",""
"","4308","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:04:10 UTC 2025","passed","Fri Aug 15 08:04:14 UTC 2025","TestNavbar","test_navbar","",""
"","2020","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:03:40 UTC 2025","passed","Fri Aug 15 08:03:42 UTC 2025","TestNavbar","test_navbar","",""
"","2064","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:03:38 UTC 2025","passed","Fri Aug 15 08:03:40 UTC 2025","TestNavbar","test_navbar","",""
"","4026","Checking api testing page","tests.test_api_cases","Fri Aug 15 07:57:43 UTC 2025","passed","Fri Aug 15 07:57:47 UTC 2025","TestApiCases","test_api_cases","",""
"","1740","Checking current item on static page","tests.test_current_item","Fri Aug 15 08:01:44 UTC 2025","passed","Fri Aug 15 08:01:45 UTC 2025","","test_current_item","",""
"","2049","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:00:07 UTC 2025","passed","Fri Aug 15 08:00:09 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","18437","Checking scroll up on cart","tests.test_scroll_up","Fri Aug 15 08:07:02 UTC 2025","passed","Fri Aug 15 08:07:21 UTC 2025","TestScrollUp > TestScrollUpRegression","test_scroll_up","",""
"","3977","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:02:58 UTC 2025","passed","Fri Aug 15 08:03:02 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","2669","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:03:14 UTC 2025","passed","Fri Aug 15 08:03:17 UTC 2025","TestNavbar","test_navbar","",""
"","2831","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:05:08 UTC 2025","passed","Fri Aug 15 08:05:11 UTC 2025","TestScrollUp","test_scroll_up","",""
"","2899","Checking chosen brand on static pages","tests.test_chosen_category","Fri Aug 15 08:01:24 UTC 2025","passed","Fri Aug 15 08:01:27 UTC 2025","TestChosen","test_chosen_category","",""
"","2830","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:06:47 UTC 2025","passed","Fri Aug 15 08:06:50 UTC 2025","TestScrollUp","test_scroll_up","",""
"","3756","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:03:34 UTC 2025","passed","Fri Aug 15 08:03:38 UTC 2025","TestNavbar","test_navbar","",""
"","3421","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:02:49 UTC 2025","passed","Fri Aug 15 08:02:53 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","3171","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:06:13 UTC 2025","passed","Fri Aug 15 08:06:16 UTC 2025","TestScrollUp","test_scroll_up","",""
"","4433","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:04:39 UTC 2025","passed","Fri Aug 15 08:04:44 UTC 2025","TestNavbar","test_navbar","",""
"","1747","Checking breadcrumb on static pages","tests.test_breadcrumb","Fri Aug 15 07:58:05 UTC 2025","passed","Fri Aug 15 07:58:06 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","4649","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:04:47 UTC 2025","passed","Fri Aug 15 08:04:52 UTC 2025","TestNavbar","test_navbar","",""
"","1944","Checking breadcrumb on static pages","tests.test_breadcrumb","Fri Aug 15 07:58:49 UTC 2025","passed","Fri Aug 15 07:58:51 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","4031","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:03:51 UTC 2025","passed","Fri Aug 15 08:03:55 UTC 2025","TestNavbar","test_navbar","",""
"","12585","Checking scroll up on cart","tests.test_scroll_up","Fri Aug 15 08:06:51 UTC 2025","passed","Fri Aug 15 08:07:04 UTC 2025","TestScrollUp > TestScrollUpRegression","test_scroll_up","",""
"","2100","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:03:38 UTC 2025","passed","Fri Aug 15 08:03:40 UTC 2025","TestNavbar","test_navbar","",""
"","6090","Checking scroll up on signup page","tests.test_scroll_up","Fri Aug 15 08:06:53 UTC 2025","passed","Fri Aug 15 08:06:59 UTC 2025","TestScrollUp > TestScrollUpRegression","test_scroll_up","",""
"","4512","Checking breadcrumb on cart page","tests.test_breadcrumb","Fri Aug 15 07:57:37 UTC 2025","passed","Fri Aug 15 07:57:42 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","2964","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:02:20 UTC 2025","passed","Fri Aug 15 08:02:23 UTC 2025","TestLowerPanel","test_lower_panel","",""
